Allele,CE-54,EE-54,LPI-54,LPII-54,WO-54,RC-54,EO-54,SF-54
Dbug4_19,0.13,0.047,0.075,0.031,0.056,0.096,0.038,0.056
Dbug4_20,0.028,0.047,0.028,0.042,0.074,0.01,0.019,0.037
Dbug4_21,0.009,0.009,0.000,0.000,0.000,0.000,0.000,0.009
Dbug4_22,0,0.057,0.047,0.052,0.037,0.01,0.057,0.056
Dbug4_23,0.000,0.038,0.028,0.021,0.019,0.000,0.019,0.000
Dbug4_24,0.019,0.038,0.000,0.010,0.000,0.019,0.009,0.000
Dbug4_25,0.056,0.085,0.009,0.031,0.037,0.048,0.009,0.083
Dbug4_26,0.037,0.009,0.028,0.000,0.000,0.000,0.000,0.019
Count4,108,106,106,96,108,104,106,108
Dbug5_1,0.000,0.010,0.021,0.034,0.011,0.010,0,0.000
Dbug5_2,0.041,0.000,0.000,0.034,0.000,0.000,0,0.010
Dbug5_3,0.02,0.01,0.074,0.102,0.033,0.07,0,0.051
Dbug5_4,0.000,0.030,0.011,0.045,0.011,0.020,0,0.031
Dbug5_5,0.051,0.080,0.064,0.114,0.087,0.190,0,0.020
Dbug5_6,0.153,0.13,0.16,0.068,0.098,0.08,0,0.092
Dbug5_7,0.01,0,0,0,0,0.01,0,0.01
Dbug5_8,0.143,0.230,0.138,0.182,0.217,0.080,0,0.143
Dbug5_9,0.071,0.1,0.011,0,0.033,0.03,0,0.112
Dbug5_10,0.143,0.070,0.213,0.125,0.196,0.080,0,0.061
Dbug5_11,0.051,0.02,0,0.091,0.065,0.02,0,0.112
Dbug5_12,0.01,0.02,0.021,0,0.022,0.02,0,0.01
Dbug5_13,0.020,0.060,0.096,0.011,0.011,0.050,0,0.010
Dbug5_14,0.010,0.030,0.000,0.045,0.098,0.040,0,0.041
Dbug5_15,0.010,0.000,0.000,0.000,0.000,0.000,0,0.000
Dbug5_16,0.02,0.06,0,0,0.033,0.08,0,0.092
Dbug5_17,0.041,0.040,0.032,0.057,0.000,0.080,0,0.010
Dbug5_18,0.041,0.020,0.021,0.000,0.011,0.040,0,0.051
Dbug5_19,0.01,0,0.021,0.045,0.033,0.02,0,0.051
Dbug5_20,0,0.02,0,0,0,0,0,0.041
Dbug5_21,0.031,0.000,0.021,0.011,0.022,0.000,0,0.000
Dbug5_22,0.02,0.04,0.032,0.023,0,0.05,0,0.02
Dbug5_23,0.020,0.010,0.011,0.000,0.000,0.023,0.000,0.010
Dbug5_24,0.051,0.020,0.021,0.000,0.022,0.000,0.030,0.000
Dbug5_25,0.02,0,0,0.011,0,0.011,0,0.02
Dbug5_26,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dbug5_27,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000
Count5,98,100,94,88,92,88,100,98
Dbug6_1,0.148,0.194,0.167,0.093,0.102,0.296,0.194,0.102
Dbug6_2,0.148,0.102,0.093,0.130,0.083,0.056,0.083,0.157
Dbug6_3,0.343,0.435,0.472,0.287,0.315,0.278,0.139,0.167
Dbug6_4,0.361,0.269,0.269,0.491,0.500,0.370,0.583,0.574
Count6,108,108,108,108,108,108,108,108
